"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2014","169.79","169.96","172.39","165.53","","-0.09%"
"05/01/2014","169.94","164.91","170.05","164.19","","3.06%"
"04/01/2014","164.90","159.29","164.92","158.43","","3.54%"
"03/01/2014","159.26","158.61","160.95","154.90","","0.21%"
"02/01/2014","158.93","153.18","159.76","150.40","","3.71%"
"01/01/2014","153.24","148.79","154.95","147.59","","2.88%"
"12/01/2013","148.95","147.56","150.68","145.33","","0.96%"
"11/01/2013","147.53","155.38","156.88","147.51","","-5.00%"
"10/01/2013","155.29","150.13","160.61","147.96","","3.43%"
"09/01/2013","150.14","145.94","158.58","143.30","","3.20%"
"08/01/2013","145.48","155.44","156.04","142.12","","-6.22%"
"07/01/2013","155.13","155.50","162.74","151.36","","-0.06%"
"06/01/2013","155.23","159.36","161.08","145.86","","-2.70%"
"05/01/2013","159.54","170.09","177.60","159.52","","-6.29%"
"04/01/2013","170.24","159.15","170.24","158.62","","6.87%"
"03/01/2013","159.29","155.99","159.76","155.02","","1.94%"
"02/01/2013","156.26","155.53","158.43","154.10","","0.55%"
"01/01/2013","155.40","151.38","158.86","151.38","113.27M","2.74%"
"12/01/2012","151.26","146.56","151.73","145.32","686.21M","3.36%"
"11/01/2012","146.34","147.30","149.48","141.02","807.62M","-0.74%"
"10/01/2012","147.43","147.37","151.38","144.98","779.99M","0.14%"
"09/01/2012","147.22","149.14","155.72","146.42","832.32M","-1.29%"
"08/01/2012","149.14","150.43","152.41","146.88","722.49M","-0.85%"
"07/01/2012","150.42","146.70","151.88","145.49","784.54M","2.55%"
"06/01/2012","146.68","138.77","146.68","133.39","864.94M","5.54%"
"05/01/2012","138.98","145.53","147.80","135.26","864.75M","-4.49%"
"04/01/2012","145.52","142.08","145.88","135.49","762.29M","2.41%"
"03/01/2012","142.09","135.75","142.52","134.73","925.43M","4.68%"
"02/01/2012","135.74","138.10","141.03","135.45","847.83M","-1.70%"
"01/01/2012","138.09","130.18","139.20","128.07","942.02M","6.10%"
"12/01/2011","130.15","125.15","132.10","120.57","769.53M","4.00%"
"11/01/2011","125.15","130.87","130.87","115.77","1.00B","-4.51%"
"10/01/2011","131.06","113.18","133.00","105.78","1.22B","15.73%"
"09/01/2011","113.25","126.80","127.45","112.83","1.18B","-10.68%"
"08/01/2011","126.79","134.70","135.30","108.84","1.68B","-5.85%"
"07/01/2011","134.67","134.02","140.10","132.34","856.70M","0.46%"
"06/01/2011","134.06","137.87","137.87","127.53","1.03B","-2.77%"
"05/01/2011","137.88","137.14","138.18","132.13","805.35M","0.58%"
"04/01/2011","137.09","131.24","138.73","127.87","791.38M","4.47%"
"03/01/2011","131.23","132.84","132.84","124.90","1.05B","-1.19%"
"02/01/2011","132.81","127.13","132.86","126.28","866.34M","4.48%"
"01/01/2011","127.11","120.63","127.84","119.15","967.03M","5.42%"
"12/01/2010","120.58","115.27","121.51","113.98","927.99M","5.02%"
"11/01/2010","114.82","116.16","123.44","111.06","1.03B","-1.15%"
"10/01/2010","116.15","111.53","119.84","110.77","1.11B","4.12%"
"09/01/2010","111.55","108.03","117.40","108.03","842.37M","3.42%"
"08/01/2010","107.86","108.95","113.12","103.80","917.77M","-0.96%"
"07/01/2010","108.91","98.31","110.83","93.62","1.24B","10.78%"
"06/01/2010","98.31","103.66","109.59","95.24","1.34B","-5.18%"
"05/01/2010","103.68","109.73","114.47","95.49","1.47B","-5.48%"
"04/01/2010","109.69","103.06","113.92","102.03","1.12B","6.44%"
"03/01/2010","103.05","93.03","106.23","93.03","1.07B","10.81%"
"02/01/2010","93.00","88.20","93.94","84.74","1.07B","5.53%"
"01/01/2010","88.13","94.24","95.63","87.00","995.82M","-6.42%"
"12/01/2009","94.18","88.86","99.00","88.57","1.08B","6.07%"
"11/01/2009","88.79","82.63","90.96","80.70","1.20B","7.48%"
"10/01/2009","82.61","85.70","88.37","79.95","1.43B","-3.63%"
"09/01/2009","85.72","79.90","92.52","73.85","1.56B","7.27%"
"08/01/2009","79.91","71.96","84.66","71.96","1.53B","11.11%"
"07/01/2009","71.92","65.06","73.13","57.90","1.57B","10.51%"
"06/01/2009","65.08","68.75","73.45","60.85","1.71B","-5.21%"
"05/01/2009","68.66","66.69","70.45","60.48","2.24B","2.75%"
"04/01/2009","66.82","49.54","68.60","47.99","3.36B","34.77%"
"03/01/2009","49.58","48.56","55.04","40.47","3.29B","2.06%"
"02/01/2009","48.58","63.21","66.17","48.34","2.15B","-23.16%"
"01/01/2009","63.22","78.00","79.21","60.57","1.81B","-18.92%"
"12/01/2008","77.97","68.88","83.79","55.43","2.26B","13.23%"
"11/01/2008","68.86","92.68","95.82","49.28","2.08B","-25.74%"
"10/01/2008","92.73","136.40","136.40","72.80","2.07B","-32.09%"
"09/01/2008","136.54","139.41","147.74","122.85","1.43B","-2.01%"
"08/01/2008","139.34","137.47","148.36","132.86","943.36M","1.40%"
"07/01/2008","137.41","135.12","146.48","121.95","1.25B","1.50%"
"06/01/2008","135.38","152.32","155.40","134.01","661.63M","-11.18%"
"05/01/2008","152.42","151.96","158.98","147.70","341.81M","0.27%"
"04/01/2008","152.01","144.49","158.50","144.49","","5.25%"
"03/01/2008","144.43","134.47","150.98","128.51","","7.42%"
"02/01/2008","134.45","140.60","147.28","131.48","","-4.35%"
"01/01/2008","140.56","141.69","143.29","121.97","","-0.81%"
"12/01/2007","141.71","151.54","160.75","137.03","","-6.49%"
"11/01/2007","151.55","167.96","167.96","138.01","","-9.89%"
"10/01/2007","168.18","167.18","177.01","157.62","","0.57%"
"09/01/2007","167.23","160.23","169.55","152.78","","4.39%"
"08/01/2007","160.19","152.61","163.70","144.46","","4.95%"
"07/01/2007","152.64","163.46","171.93","150.25","","-6.67%"
"06/01/2007","163.54","182.32","184.32","159.76","","-10.35%"
"05/01/2007","182.43","180.35","184.70","166.31","","1.20%"
"04/01/2007","180.27","181.77","186.68","179.27","","-0.87%"
"03/01/2007","181.85","187.70","188.14","175.23","","-3.18%"
"02/01/2007","187.83","195.64","203.41","185.13","","-3.96%"
"01/01/2007","195.57","178.25","196.15","174.29","","9.73%"
"12/01/2006","178.23","180.29","182.61","173.93","","-1.15%"
"11/01/2006","180.30","172.57","180.84","163.63","","4.48%"
"10/01/2006","172.57","160.57","173.11","159.06","","7.42%"
"09/01/2006","160.65","156.05","162.30","153.90","","3.03%"
"08/01/2006","155.93","153.47","156.68","148.42","","1.60%"
"07/01/2006","153.47","146.39","154.51","146.04","","4.84%"
"06/01/2006","146.39","139.90","147.65","139.90","","4.70%"
"05/01/2006","139.82","142.99","146.42","134.37","","-2.22%"
"04/01/2006","143.00","148.50","149.20","137.90","","-3.68%"
"03/01/2006","148.47","143.25","152.86","142.04","","3.64%"
"02/01/2006","143.25","140.30","144.89","135.86","","2.07%"
"01/01/2006","140.34","130.33","141.89","129.80","","7.68%"
"12/01/2005","130.33","133.02","134.64","129.53","","-1.96%"
"11/01/2005","132.94","127.50","135.41","119.73","","4.13%"
"10/01/2005","127.67","130.12","131.09","118.38","","-1.91%"
"09/01/2005","130.15","130.95","134.47","126.06","","-0.59%"
"08/01/2005","130.92","138.37","139.05","124.73","","-5.38%"
"07/01/2005","138.36","126.93","139.41","126.59","","9.00%"
"06/01/2005","126.93","122.78","129.98","122.76","","3.45%"
"05/01/2005","122.70","119.16","125.50","117.65","","2.98%"
"04/01/2005","119.15","113.65","119.15","111.90","","3.98%"
