"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2008","263.97","250.62","277.35","247.33","2.02B","5.33%"
"03/01/2008","250.62","254.01","260.26","233.68","2.32B","-1.33%"
"02/01/2008","254.01","249.38","266.29","237.04","1.88B","1.86%"
"01/01/2008","249.38","259.78","263.00","215.91","2.65B","-4.03%"
"12/01/2007","259.84","257.59","270.37","248.14","1.47B","0.87%"
"11/01/2007","257.59","271.42","271.42","239.13","2.04B","-5.10%"
"10/01/2007","271.42","260.99","272.03","252.58","1.85B","4.00%"
"09/01/2007","260.99","242.46","262.94","234.44","1.55B","7.63%"
"08/01/2007","242.48","244.19","248.25","214.04","2.37B","-0.78%"
"07/01/2007","244.38","250.10","267.58","240.55","2.09B","-2.29%"
"06/01/2007","250.10","252.14","255.84","243.07","1.52B","-0.81%"
"05/01/2007","252.14","239.23","253.29","235.82","1.67B","5.40%"
"04/01/2007","239.23","234.71","244.33","233.52","1.41B","1.93%"
"03/01/2007","234.71","230.84","238.94","222.63","1.92B","1.68%"
"02/01/2007","230.84","226.25","242.70","225.99","1.51B","2.03%"
"01/01/2007","226.25","216.52","226.83","211.18","1.50B","4.47%"
"12/01/2006","216.56","215.61","220.94","212.46","1.19B","0.44%"
"11/01/2006","215.61","206.92","216.37","204.57","1.49B","4.13%"
"10/01/2006","207.05","195.56","208.03","191.33","1.58B","5.88%"
"09/01/2006","195.56","196.03","199.82","189.41","1.30B","-0.24%"
"08/01/2006","196.03","190.88","196.70","188.32","1.29B","2.70%"
"07/01/2006","190.88","197.79","200.59","184.74","1.36B","-3.49%"
"06/01/2006","197.79","197.99","201.94","180.63","1.72B","-0.10%"
"05/01/2006","197.99","206.93","217.21","190.43","1.71B","-4.32%"
"04/01/2006","206.93","199.86","212.85","199.86","1.32B","3.54%"
"03/01/2006","199.86","191.66","203.68","187.83","1.28B","4.28%"
"02/01/2006","191.66","195.87","197.29","187.96","1.16B","-2.15%"
"01/01/2006","195.87","187.12","197.00","185.90","1.32B","4.68%"
"12/01/2005","187.12","182.10","190.25","182.10","1.06B","2.76%"
"11/01/2005","182.10","170.07","184.40","169.86","1.18B","7.07%"
"10/01/2005","170.07","169.18","170.61","159.67","1.28B","0.48%"
"09/01/2005","169.25","168.26","172.20","164.93","1.23B","0.59%"
"08/01/2005","168.26","175.91","179.12","165.60","1.06B","-4.35%"
"07/01/2005","175.91","167.09","177.88","164.32","1.11B","5.33%"
"06/01/2005","167.01","170.50","178.68","166.86","1.16B","-1.99%"
"05/01/2005","170.40","172.50","178.08","163.92","1.15B","-1.18%"
"04/01/2005","172.44","185.53","187.70","167.52","1.36B","-7.04%"
"03/01/2005","185.50","190.91","196.30","181.14","1.24B","-2.83%"
"02/01/2005","190.91","177.46","192.70","177.37","1.03B","7.58%"
"01/01/2005","177.46","183.15","183.68","173.49","1.17B","-3.12%"
"12/01/2004","183.18","180.96","184.83","174.29","1.02B","1.23%"
"11/01/2004","180.96","168.27","182.87","167.45","966.26M","7.54%"
"10/01/2004","168.27","169.66","173.46","161.61","1.08B","-0.82%"
"09/01/2004","169.66","163.63","169.76","161.39","899.27M","3.69%"
"08/01/2004","163.63","161.11","165.09","153.55","808.80M","1.56%"
"07/01/2004","161.11","164.75","164.75","154.48","868.10M","-2.21%"
"06/01/2004","164.75","157.05","164.94","154.14","887.68M","4.90%"
"05/01/2004","157.05","153.76","158.02","145.36","1.04B","2.14%"
"04/01/2004","153.76","161.57","165.50","153.02","1.12B","-4.83%"
"03/01/2004","161.57","165.03","168.04","153.45","1.15B","-2.10%"
"02/01/2004","165.03","157.28","166.59","153.92","900.27M","4.86%"
"01/01/2004","157.38","165.35","167.45","154.44","","-4.81%"
"12/01/2003","165.34","150.58","166.48","150.58","","9.97%"
"11/01/2003","150.35","147.33","150.76","143.42","","2.06%"
"10/01/2003","147.31","135.11","148.63","135.11","","9.11%"
"09/01/2003","135.01","141.72","143.38","134.14","","-4.74%"
"08/01/2003","141.73","137.81","143.11","132.80","37.12M","2.87%"
"07/01/2003","137.78","127.77","139.24","125.67","849.55M","7.84%"
"06/01/2003","127.76","127.01","133.05","126.84","777.59M","0.66%"
"05/01/2003","126.92","123.40","126.99","120.82","706.56M","2.82%"
"04/01/2003","123.44","113.06","124.33","111.69","777.71M","9.18%"
"03/01/2003","113.06","113.15","121.32","104.67","749.27M","-0.04%"
"02/01/2003","113.10","116.56","118.08","109.64","663.25M","-2.97%"
"01/01/2003","116.56","122.82","128.05","114.37","748.51M","-5.00%"
"12/01/2002","122.69","128.39","129.15","120.46","641.14M","-4.44%"
"11/01/2002","128.39","114.82","128.85","113.10","629.07M","11.70%"
"10/01/2002","114.94","109.68","120.69","101.80","936.58M","5.00%"
"09/01/2002","109.47","125.58","125.90","106.67","783.70M","-13.07%"
"08/01/2002","125.93","126.81","129.85","116.80","789.49M","-0.71%"
"07/01/2002","126.83","143.05","143.26","112.02","1.14B","-11.27%"
"06/01/2002","142.94","146.20","146.69","136.75","817.29M","-2.24%"
"05/01/2002","146.21","139.55","150.62","137.84","758.37M","4.62%"
"04/01/2002","139.76","146.77","148.12","136.81","806.36M","-4.82%"
"03/01/2002","146.84","142.40","149.71","141.27","767.40M","3.28%"
"02/01/2002","142.17","135.41","143.53","131.45","840.33M","4.98%"
"01/01/2002","135.42","133.06","139.41","121.91","1.05B","1.87%"
"12/01/2001","132.93","134.53","140.94","130.40","649.61M","-2.51%"
"11/01/2001","136.35","124.64","136.76","124.64","","11.61%"
"10/01/2001","122.17","118.70","127.44","117.66","","2.37%"
"09/01/2001","119.34","136.14","136.14","109.44","","-11.31%"
"08/01/2001","134.56","134.62","137.83","131.69","","-1.15%"
"07/01/2001","136.12","137.31","139.16","131.73","","0.13%"
"06/01/2001","135.94","142.68","145.26","133.14","","-4.38%"
"05/01/2001","142.17","138.00","150.99","137.24","","3.63%"
